id,question,answer
94,صرفی تحقیق کرنے کا طریقہ \n,"*صرفی اجراء کرنے کا طریقہ* \n\nازقلم: ابو المتبسِّم ایاز \n\nصرف تو پڑھ لیتے ہیں لیکن صرفی اجراء نہیں آتا ؟\nکسی کلمے پر صرف کا اجراء کیسے کیا جائے ؟\nاور صرفی اجراء میں کیا کیا سوالات پوچھے جائیں گیے ؟\nاس طرح کے سوالات کہی طلباء کرام اساتذہ کرام سے معلوم کرتے ہیں۔ اور کتابوں میں اِن سوالات کا جواب تلاش کرتے ہیں لیکن پھر بھی بعض طلباء فرماتے ہیں کہ سمجھ نہیں آرہا کیا کریں ؟\nصرف یاد تو کرلیتے ہیں لیکن ہمیں اجراء کرنا نہیں آتا ؟\n\nاِس طرح کے تمام تر سوالات کا خلاصہ یہ کہ *صرفی اجراء کرنے کا طریقہ* کیا ہے ؟ \n\nاس کا جواب بالکل سہل انداز میں لکھنے کی سعی کی ہے اُمید کرتا ہوں کہ ان شاء اللّٰه عزوجل آپ کو صرفی اجراء کرنے کا طریقہ سمجھ آجائے گا۔\n\n1: صیغہ واحد ہے یا تثنیہ یا جمع ؟\n2: مذکر ہے یا مئونث ؟\nغائب ہے یا حاضر یا متکلم ؟\n3: سہ اقسام میں کیا ہے: اسم ، فعل ، حرف ؟\n4: اگر اسم ہے تو اسماء کی کونسی قسم سے ہے ؟\n5: اگر فعل ہے تو کونسا فعل ہے ؟\n6: اور یہ فعل کس حالت میں ہے: مرفوع یا منصوب یا مجزوم ؟\n7: شش اقسام میں کیا ہے: ثلاثی یا رباعی یا خماسی ؟\n8: یہ صیغہ ہفت اقسام میں کیا ہے ؟\n9: اس صیغے کا باب کونسا ہے ؟\nاور اس کی علامت کیا ہے ؟\n10: اس صیغے میں ""تعلیل یا تخفیف یا ادغام"" ہوئ ہے یا نہیں ؟\n11: اگر ہوئ ہے تو پورا صیغہ مع قاعدے کے بیان کریں۔\n\nیہ ہے صرفی اجراء کرنے کا بالکل آسان انداز\nاُمید کرتا ہوں کہ آپ کو بخوبی سمجھ آگیا ہوگا۔\n*اہم نوٹ:* مذکورہ بالاطریقہ اختیار کرتے ہوئے اگر آپ عربی کتابوں کا مطالعہ کریں گیے۔ تو ان شاء اللّٰه عزوجل عربی کلمات کے تلفظ میں خطأ نہیں ہوگی۔\nشروع شروع میں اتنے سارے سوالات حل کرنے میں آپ کا کافی وقت صرف ہوگا۔ لیکن چند دنوں میں اس طرح مشق کرنے سے آپ کا ذہن کُھل جائے گا۔ اور صرف مضبوط ہوجائے گی۔"
95,مفعول بہ کسے کہتے ہیں,وہ جس پر فاعل کا فعل واقع ہوتا ہے۔
96,نساء کا با ب\n,یہ جامد ہے. اور جامد میں باب کی تعیین نہیں ہوتی۔
97,استثنی اور مستثنیٰ کی تعریف,استثناء اس کام کو کہتے ہیں جس میں اسم کو بذریعہ کلمہ استثناء کسی اسم کے حکم سے نکال دیا جائے اُسے مستثنیٰ اور جس اسم کے حکم سے مستثنیٰ کو نکالا گیا ہوا سے مستثنیٰ منہ کہتے ہیں: قَامَ الْقَوْمُ إِلَّا زَيْدًا\n
98,علم کی تعریف\n,جاننا
99,Kiya sarf ko hifz bhi karna chah \n\nye\n\n\n\n\n,صرف میں گردانیں یاد کرنے سے صرف پختہ ہوتی ہے۔
100,یُذْھِبَنَّ صیغہ کونسا ہے,واحد مذکر غائب
101,ظھور کون سا صیغہ ہے\n,مصدر
102,اجرا تحقیق اور  ترکیب ان سب میں کیسے فرق کو واضح کیا جاے مطلب ان تینوں۔ کو کیسے استعمال کیا جاتا ہے,اجراء اور ترکیب میں فرق ہے. باقی تحقیق کا اطلاق تو اجراء کے ساتھ بھی ہوتا ہے۔
103,ذھب سے ماضی مجہول کا ترجمہ\n,ماضی معروف کا ترجمہ ؛ گزرا وہ ایک مرد\nماضی مجہول کا ترجمہ ؛ گزارا گیا وہ ایک مرد
104,شذا العرف کی تدریس کے لیے معاون کتب ؟؟,اِس کی شروحات تو بہت ساری ہیں. لیکن معاون یہ کتاب بہتر ہے \nشرح شذ العرف فی فن الصرف \nمصنف: سلیمان العیونی
105,حال ذولحال کی ترکیب کیسے کرتے ہیں,حال ، ذوالحال آپس میں ملکر کبھی فاعل ، کبھی نائب الفاعل وغیرہ بنتے ہیں۔
106,الصاق کون سے باب سے ہے اور اس کا کیا معنی ہے,الصاق باب افعال سے ہے اور اسکا معنی ملانا ہے۔
107,اسم کی تعریف\n,اسم\n    وہ کلمہ جو دوسرے کلمہ سے ملے بغیر اپنے معنی پر دلالت کرے اور اس کا معنی کسی زمانے (ماضی، حال یا مستقبل) سے ملا ہوا نہ ہو
108,متت میم۔مکسور کے ساتھ اسکی تعلیل\n,یہ اگر کسی جگہ پڑھا ہے تو بتا دیں \nفی الحال سمجھ نہیں آرہا
109,فعل خماسی کیوں نہیں ہوتا ؟,خماسی صرف اسم جامد ہی ہو سکتا ہے کوئی اور اسم یا فعل خماسی نہیں ہوتا اس لیے خماسی مجرد اور خماسی مزید تعریف و مثال اسم جامد کے ساتھ خاص کر دی گئی ہے
110,علمِ صرف میں فعل کو اسم پہ مقدم کرنے کی وجہ,
111,Maulal or gair maulal Kia hoty hain\n?,جس میں تعلیل ہو تو وہ معلّل اور جس میں تعلیل نہ ہو تو وہ غیر معلّل
112,ثنتین کی تعلیل بتا دیں \n\n,تعلیل وہاں ہوتی ہے. جہاں حرف علت ہو. یہاں حرف علت کونسا ہے ؟
113,سِمْوٌ سے اسم کیسے بنا\n\n,قلب مکانی کی \nیعنی لام کلمہ کو فاء کلمہ اور فاء کلمہ کو لام کلمہ کیا تو وِسْم ہوگیا. پھر شروع میں واؤ واقع ہونے کی وجہ سے واؤ کو ہمزہ سے تبدیل کیا تو اِسْم ہوگیا
114,من احب نحوی تحقیق\n,من اسم موصول \nاحب فعل ھو فاعل \nدونوں ملکر صلہ
115,Sarf kya hai,ایک علم ہے۔ جس کے ذریعے سے عربی کلمات کا تلفظ درست ہوتا ہے
116,معطوف کی پہچان کا طریقہ,جو تابع حرف عطف کے بعد واقع ہوتا ہے اُسے معطوف کہتے ہیں
117,ومن لم یجد الماء کے نیچے کسرہ کیوں آیا \n\n \n\n,جب لم یجد کو آگے والے کلمہ سے ملا کر پڑھیں گیں تو لم یجد کے دال پر کسرہ پڑھیں گیں کیوں کہ جب ساکن حرف کو حرکت دیتے ہیں تو کسرہ لگاتے ہیں
118,اجراء کا مکمل طریقہ,ان تحاریر کا مطالعہ کر لیں۔\nhttp://islamicdesk.com/feed/Seeghon-ki-pehchaan-ka-tareeqa \n                    https://play.google.com/store/apps/details?id=com.sarfkidunya\n\nhttp://islamicdesk.com/feed/taleel-ka-tariqa\n                    https://play.google.com/store/apps/details?id=com.sarfkidunya
119,ابراہیم کیا صیغہ ہے,اسم ہے
120,لت لت کونسا صیغہ ہے اور اصل کیاہے,لُتْ صیغہ واحد مذکر حاضر فعل امر حاضر معروف از باب نصر ینصر   اسکی  اصل لُوْتْ تھا اجتماع ساکنین کی وجہ سے و کو گرا دیا تو لُتْ ہوگیا۔\nامر کی تکرار اغراء و تحذیر کے لیے ہوتی ہے۔\n
121,فاعل کو مذکر لانے کی صورت کیا ہے \n,فاعل کو مذکر لانے کی صورت تو نہیں \nالبتہ فعل کو مذکر لانے کی صورت ہے \nوہ یہ کہ جب فاعل مذکر ہو تو فعل کو مذکر لایا جائے گا
122,اما ترکیب میں کیا بنتا ہے؟؟\n,اَمَّا ترکیب کلام میں کلمہ شرط بنتا ہے
123,دَعُوْها میں کیا تعلیل ہوئی ہے\n,دَعَوْ یہ صیغہ ہے۔ اِس کی تعلیل یہ ہے\nجمع مذکر غائب \nاصل میں دَعَوُوْ تھا\nواؤ متحرک ماقبل مفتوح ہونے کی وجہ سے واؤ کو الف سے بدلہ پھر الف کو اجتماع ساکنین کی وجہ سے گرا دیا تو دَعَؤ ہوگیا۔
124,كيف اعرفُ النحوَ والصرفَ ؟,تعرف النحو و الصرف بمطالعتہ کتب النحو و الصرف و بالاجراء النحو و الصرف
125,تدخل \n,صیغہ واحد مؤنث غائب ثلاثی مجرد صحیح از باب نصر ینصر
126,تُمْنُوْنَ کی تعلیل کیا ہے؟ اس کے حروف اصلی کیا ہے؟,اصل تُمْنِوُوْنَ\nواؤ کو یاء سے بدلہ پھر یاء کی حرکت ماقبل کو دے کر یاء کو اجتماع ساکنین کی وجہ سے گرا دیا تو تُمْنُوْنَ ہوگیا
127,صیغے کی پہچان کا آسان سا طریقہ بتایے گا,"<p>.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;صیغوں کی پہنچان کیسے ہو ❓</p><p> ابتداء سے لیکر انتہاء تک معلَّل اور غیر معلَّل صیغہ پہنچاننے کے حوالے سے ایک رہنما تحریر</p><p>✍️ ابو المتبسِّم عطاری</p><p>👈 فنِ صرف پڑھنے کا مقصد یہ ہے کہ صرف پڑھنے کے بعد صیغوں کی پہنچان حاصل ہو کہ یہ صیغہ معلّل ہے یا غیر معلَّل یعنی ایک صیغہ کی مکمل پہنچان حاصل ہو۔</p><p>👈 جب صیغوں کی پہنچان حاصل ہوگی تو پھر جاکہ اُس صیغہ کے مطابق درست ترجمہ کرنے میں کامیابی حاصل ہوگی۔ ورنہ اگر پہنچان نہیں ہوئ تو ترجمہ کرنا مشکل ہوگا۔</p><p>👈 اب صیغوں کی پہنچان کے لئے ضروری ہے کہ علمِ صرف آتا ہو ، صرف کی بنیادی اصطلاحات یاد ہوں۔ کیونکہ صرف کے بغیر کبھی بھی صیغوں کی پہنچان حاصل نہیں ہوگی۔</p><p>👈 صرف سمجھنے ، یاد کرنے کے بعد صیغوں کی پہنچان کیسے حاصل ہو ؟</p><p> اِس کا آسان طریقہ کار درج ذیل ہے:</p><p><span style=""color: rgb(0, 0, 0);"">*</span><strong>1:</strong><span style=""color: rgb(0, 0, 0);"">*</span> جو صیغہ آپ کے پاس آئے سب سے دیکھیں کہ یہ صیغہ واحد ہے یا تثنیہ یا جمع ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>2:</strong><span style=""color: rgb(0, 0, 0);"">*</span> مذکر ہے یا مؤنث ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>3:</strong><span style=""color: rgb(0, 0, 0);"">*</span> غائب ہے یا حاضر یا متکلم ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>4:</strong><span style=""color: rgb(0, 0, 0);"">*</span> سہ اقسام میں کیا یے ؟</p><p> (اسم یا فعل )</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>5:</strong><span style=""color: rgb(0, 0, 0);"">*</span> اگر فعل ہے تو فعل کی اقسام میں کونسی قسم ہے ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>6:</strong><span style=""color: rgb(0, 0, 0);"">*</span> اگر اسم ہے تو اسمِ مشتق کی کونسی قسم ہے ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>7:</strong><span style=""color: rgb(0, 0, 0);"">*</span> شش اقسام میں کونسی قسم سے تعلق ہے ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>8:</strong><span style=""color: rgb(0, 0, 0);"">*</span> ہفت اقسام میں کونسی قسم سے تعلق ہے ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>9:</strong><span style=""color: rgb(0, 0, 0);"">*</span> حروفِ اصلیہ کونسے ہیں ؟</p><p> <span style=""color: rgb(0, 0, 0);"">*</span><strong>10:</strong><span style=""color: rgb(0, 0, 0);"">*</span> یہ صیغہ کِس باب سے ہے ؟</p><p> (ثلاثی مجرد ہے ، تو کونسے باب سے ،&nbsp;اگر مزید فیہ سے تعلق ہے تو مزید فیہ کے کونسے باب سے وعلی ھذا القیاس)</p><p>👈 اِس کے بعد اب آپ کے لئے صیغہ کی پہنچان بالکل آسان ہو جائے گی کہ یہ صیغہ معلّل ہے یا غیر معلَّل ؟</p><p>👈 معلَّل اور غیر معلَّل صیغوں کو پہنچاننے کے 4 طریقے ہیں جن میں سے ایک طریقہ کے مطابق غیر معلَّل صیغہ پہنچانا جائے گا اور تین طریقوں سے معلَّل صیغہ پہنچانا جائے گا۔</p><p>👈 غیر معلَّل صیغہ پہنچاننے کا طریقہ:</p><p> سب سے پہلے آپ اُس صیغہ سے زائد علامات (ماضی ، مضارع ، امر ، نہی ، اسم فاعل ، مفعول وغیرہ کی علامات) کو ختم کریں۔ علامات کو ختم کرنے کے بعد اب آپ دیکھیں کہ آپ کے پاس باقی حروف کتنے بچے ہیں اگر تین حروف باقی بچے ہیں اور اِس مادے سے لغت میں معنی میں بھی آرہا ہے تو سمجھو یہ صیغہ غیر معلَّل ہے یعنی اِس میں کوئ تعلیل وغیرہ نہیں ہوئ ہے۔</p><p> مثلاً: اَلْمَغْضُوْبُ</p><p> الف لام برائے تعریف اِس کو بھی حذف کیا تو <span style=""color: rgb(0, 0, 0);"">*</span><strong>مَغْضُوْبٌ</strong><span style=""color: rgb(0, 0, 0);"">*</span> ہوا</p><p>👈 پھر مَغْضُوْبٌ سے اسم مفعول کی علامت میم ، واؤ حذف کیا تو <span style=""color: rgb(0, 0, 0);"">*</span><strong>غضب</strong><span style=""color: rgb(0, 0, 0);"">*</span> ہوا۔</p><p> اور اِس کا معنی لغت سے تلاش کیا تو مصدری معنی غضب کرنا ملا اور یہی معنی یہاں پہ مراد ہے۔</p><p> اور یہی اِس صیغہ کے اصلی حروف ہیں اور تینوں حروف صیغہ میں باقی ہیں تو یہ صیغہ غیر معلَّل ہے۔</p><p>👈 معلَّل صیغہ پہنچاننے کا طریقہ:</p><p> معلَّل صیغہ پہنچاننے کے تین طریقے ہیں جوکہ مندرجہ ذیل ہیں:</p><p>پہلا طریقہ:</p><p> صیغہ سے زائد علامات حذف کرنے کے بعد اگر معنی لغت سے نہ آئے تو سمجھو اِس کا کوئ حرف کسی سے بدلا ہوا ہے یعنی اِس میں تعلیل ہوئ ہے۔</p><p> مثلاً: قَالَ</p><p> اگر لغت سے ق ، ا ، ل سے معنی دیکھیں گے تو معنی نہیں آئے گا تو اب آپ نے الف کی جگہ واؤ ، یاء کو رکھ کہ معنی تلاش کرنے ہیں کہ کس حرف سے معنی آرہا ہے۔ اگر ق ، ی ، ل سے معنی آئے تو سمجھو اِس کے اصلی حروف ق ، ی ، ل ہے۔</p><p> اور اگر&nbsp;ق ، و ، ل سے معنی آئے تو سمجھو اِس کے اصلی حروف <strong>ق ، و ، ل</strong> ہیں۔</p><p>👈 دوسرا طریقہ:</p><p> زائد علامات حذف کرنے کے بعد تین حروف سے کم حروف باقی بچے تو سمجھو کوئ حرف حذف ہے اِسلئے کہ کوئ صیغہ تین حروف سے کم نہیں ہوتا۔ اب حذف شدہ حرف یا فاء کلمہ سے حذف ہوا ہوگا یا عین کلمہ سے یا لام سے۔</p><p>👈 اِس کے لئے آپ کو معتل ، مدغم اور مخفف کے قواعد کا یاد ہونا ضروری ہے۔ پھر غور کریں کہ فاء کلمہ میں کوئ حرف حذف ہوسکتا ہے یا عین کلمہ میں یا لام کلمہ</p><p> اگر فاء کلمہ میں حرف کو مانیں تو کیا معتل الفاء کا ایسا کوئ قاعدہ ہے جس میں فاء کلمہ حذف ہوتا ہو۔ اگر ہاں تو پھر فاء کلمہ کو رکھ کہ ایک صورت بنائیں اور کسی وزن پہ لے کہ جائیں پھر لغت سے معنیٰ دیکھیں اسی طرح سے عین و لام کلمہ میں رکھ کہ دیکھیں کہ کس جگہ پہ حرف حذف ہے۔</p><p> مثلاً: تَدَعُ</p><p> علامت مضارع حذف کرنے کے بعد <strong>دَعُ</strong> بچتا ہے اور دو حرف والا کوئ صیغہ نہیں ہوسکتا تو سمجھ آگئ کہ ایک حرف حذف ہے۔</p><p> اب فاء کلمہ میں واؤ یا یاء کو رکھ کہ لغت میں معنی دیکھو کہ واؤ سے معنی آرہا ہے یا یاء سے۔ </p><p> جس سے معنی آئے اُس کے ساتھ اِس صیغہ کی اصلی شکل بنائیں</p><p> اِس صیغہ کا معنی واؤ کے ساتھ آرہا ہے تو واؤ کے ساتھ رکھ کہ اِس کی شکل و صورت بنائیں اور اِس کی اصل صورت یہ بنی گی</p><p> تَوْدَعُ </p><p> اب واؤ علامت مضارع اور فتحہ کے درمیان آئ اور یہ ایسا کلمہ ہے جس کے لام کلمہ میں حرفِ حلقی بھی ہے تو واؤ کو حذف کردیا تو تَدَعُ ہوگیا۔</p><p>👈 تیسرا طریقہ:</p><p> زائد علامات حذف کرنے کے بعد بھی تین حروف باقی رہتے ہیں۔ پھر بھی وہ صیغہ معلّل ہوتا ہے۔ وہ اِس طرح سے کہ اِس صیغہ کا کوئ وزن صحیح نہیں بن رہا ہوتا تو سمجھ جائیں کہ اِس میں حرکات میں تبدیلی ہوئ ہے۔ اگرچہ حروف باقی ہیں</p><p> مثلاً: یَقُوْلُ</p><p> اگر علامت مضارع یاء حذف بھی کردیں تو بھی تین حروف باقی رہتے ہیں لیکن وزن صحیح نہیں بن رہا تھا وہ ایسے کہ مضارع کا ایسا کوئ غیر معلَّل صیغہ نہیں ہے جس کا فاء کلمہ متحرک ہو اور عین کلمہ ساکن ہو۔ </p><p> اب جب فاء کلمہ کا ساکن کیا اور عین کلمہ کو حرکت دی تو وزن درست بن گیا <span style=""color: rgb(0, 0, 0);"">*</span><strong>یَقْوُلُ</strong><span style=""color: rgb(0, 0, 0);"">*</span> بروزن یَنْصُرُ</p><p>👈 یاد رہے! آپ اِس طرح سے ہر دن چند صیغوں پہ تکرار کریں ، غور و فکر ہیں وقت زیادہ ضرور لگے گا لیکن ان شاء اللّٰه عزوجل چند دنوں کے بعد آپ خود محسوس کریں گے کہ اب میرے اندر تبدیلی آئ ہے۔ اور کوئ صیغہ مشکل نہیں لگ رہا۔ جتنی زیادہ آپ مشق کریں گے ، تکرار کریں گے اُسی قدر آپ کی صرف بہتر سے بہتر ہوتی رہے گی۔</p><p><br></p>"
